,text,Ans
0,last session day httptwitpiccomezh,neutral
1,shanghai also really exciting precisely  skyscraper galore good tweeps china sh bj,neutral
2,recession hit veronique branquinho quit company shame,neutral
3,happy bday,neutral
4,httptwitpiccomwp  like it,neutral
5,thats great weee visitors,neutral
6,think everyone hate lol,neutral
7,soooooo wish could im school myspace completely blocked,neutral
8,within short time last clue,neutral
9,get day alright havent done anything yet leaving soon stepsister though,neutral
10,bike put holdshould known that argh total bummer,neutral
11,checked didnt win,positive
12, youre twitter tavern bore much,neutral
13,im va weekend youngest son turn  tomorrowit make kinda sad getting big check twipics,neutral
14,coming socket feel like phone hole virgin thats loose is ,negative
15,hot today  dont like hate new timetable bad week,negative
16,miss,neutral
17,cramp   ,neutral
18,guy didnt say hi answer question yesterday nice songs,neutral
19,im going spiritual stagnentation exploding ego realise im great im ok that,neutral
20,stupid storm river u tonight,negative
21,dead grandpa pay attention,neutral
22, need retail therapy bad ahhhgimme money geebus,neutral
23,go sleep,neutral
24,lame go make breakfast,neutral
25,thats cool,negative
26,hey peoples dont hate grounded haha im sat eating apple watching death note some anime,negative
27,huh another scarepoint coding sunday,neutral
28,look found  httptwittercomdjt,neutral
29,ac fan doesnt swing way  sweating hot humid day,neutral
30,guess depends want jury,neutral
31,resorted eating mickey d alone,negative
32,faux gothy chick looking me sorry going camden like poppunk jimmy eat world,positive
33,ask twitter id sun sign,positive
34,whered go,neutral
35,watching body liesgood film,negative
36,happy mother day mumm xoxo,negative
37,really need put laptop  start getting ready shindigbut ive missed twitterloves day,neutral
38,im sorry least its friday,neutral
39,feel sorry every time im printing out use like  new paper,neutral
40,n rog never heard esti beat acum u tweet much,neutral
41,always forget something travel newark airport,positive
42,left car walked home might need someone rescue petrol light flashing,neutral
43,im updating bretts phone beep really looking wedding stuff againfor next five months,neutral
44,hi there agree small child running happy breaking tear,positive
45,hope ur havin fun da club,neutral
46,miss old phone worked good dropped want new one birthday,neutral
47,think sg wonderful,neutral
48,im really sorry know wallah u feel life shittttttttt,neutral
49,happy,positive
50,watching acoustic performances  mood good friends episode miss show,neutral
51,ill oscillate one other,neutral
52,im tiredand insomnia,neutral
53,thanks ennio,neutral
54,totally come get bring kelslaws house you,neutral
55,seem nice youre generous know stuff,negative
56,u dirrrrrty oh pick hawk figured needed longshot better bet car,negative
57,almost got kitty yesterdaybut didnt work,neutral
58,reality need check in school over time party tonight tho im going bed night night,neutral
59,caladesi definitely nice peaceful way spend sunday got lil tan,neutral
60,still dont know would though,neutral
61,xo dang it certain    okay,neutral
62,change plans staying brandon papaya salad me,neutral
